Unnamed: 0,property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price
192,1.0,39.0,5,5,4.0,1.0,4770.0,1,1,2,2.0,2.0,8.5
193,0.0,9.0,2,2,1.0,3.0,577.0,0,0,2,2.0,2.0,0.4
194,0.0,2.0,4,4,3.0,0.0,2233.0,0,0,1,1.0,2.0,0.9
195,0.0,59.0,5,7,4.0,0.0,5778.0,1,0,1,2.0,1.0,5.0
196,0.0,86.0,3,3,2.0,4.0,1513.0,0,0,1,2.0,1.0,1.9
197,0.0,96.0,3,3,3.0,3.0,1650.0,0,0,2,0.0,2.0,1.24
198,0.0,39.0,3,3,3.0,4.0,588.0,0,0,1,2.0,1.0,1.4
199,0.0,107.0,2,2,2.0,1.0,809.0,0,0,1,2.0,0.0,0.46
200,0.0,1.0,2,2,2.0,4.0,1130.0,0,0,1,2.0,2.0,1.38
201,0.0,4.0,3,4,4.0,0.0,1757.0,1,0,1,2.0,0.0,1.82
202,0.0,111.0,2,2,3.0,1.0,661.0,0,0,1,1.0,0.0,0.4
203,0.0,2.0,3,3,4.0,0.0,1900.0,1,0,1,2.0,2.0,0.86
204,0.0,80.0,3,3,2.0,3.0,2167.0,0,0,1,2.0,2.0,1.65
205,0.0,66.0,3,3,3.0,4.0,2550.0,0,0,1,1.0,2.0,3.78
206,0.0,4.0,3,3,3.0,3.0,1315.0,1,0,1,2.0,2.0,1.42
207,0.0,11.0,3,3,4.0,3.0,1466.0,0,1,1,2.0,2.0,1.4
208,0.0,107.0,2,2,0.0,1.0,758.0,0,0,1,1.0,1.0,0.27
209,0.0,98.0,2,2,1.0,1.0,557.0,1,0,1,2.0,1.0,0.42
210,0.0,109.0,2,2,1.0,3.0,611.0,0,0,1,2.0,2.0,0.26
211,0.0,107.0,3,2,2.0,1.0,761.0,0,0,1,1.0,2.0,0.4
212,0.0,63.0,4,4,3.0,3.0,2000.0,1,0,2,1.0,2.0,2.05
213,0.0,105.0,4,4,2.0,0.0,1584.0,0,1,0,2.0,1.0,0.87
214,0.0,98.0,3,4,3.0,3.0,1715.0,1,0,1,2.0,2.0,1.65
215,1.0,18.0,3,3,0.0,1.0,567.0,0,0,1,1.0,1.0,0.42
216,0.0,73.0,4,4,3.0,3.0,1975.0,1,0,2,2.0,2.0,2.75
217,0.0,110.0,3,3,2.0,2.0,1438.0,0,0,2,1.0,1.0,0.88
218,0.0,104.0,3,3,4.0,3.0,1700.0,0,0,1,2.0,2.0,1.4
219,0.0,73.0,3,3,3.0,0.0,3043.0,0,0,0,1.0,2.0,5.9
220,0.0,92.0,2,2,3.0,3.0,955.0,0,0,1,2.0,1.0,0.82
221,0.0,92.0,4,5,4.0,3.0,3070.0,1,0,2,0.0,2.0,3.3
222,0.0,105.0,3,3,1.0,1.0,711.0,0,0,0,2.0,0.0,0.5
223,0.0,78.0,4,5,4.0,3.0,2200.0,1,0,1,0.0,2.0,1.8
224,0.0,65.0,4,5,3.0,3.0,3182.0,1,0,2,1.0,0.0,4.85
225,0.0,87.0,3,3,3.0,1.0,1600.0,1,0,2,1.0,1.0,1.79
226,0.0,109.0,3,5,3.0,3.0,1790.0,1,0,1,1.0,2.0,1.13
227,0.0,92.0,3,4,4.0,3.0,1900.0,1,0,0,2.0,0.0,2.29
228,0.0,111.0,1,1,1.0,1.0,438.0,0,0,1,1.0,2.0,0.26
230,0.0,107.0,2,2,2.0,3.0,507.0,0,0,1,2.0,0.0,0.29
231,1.0,3.0,4,3,2.0,0.0,1284.0,0,0,1,1.0,2.0,1.85
232,0.0,25.0,2,2,3.0,2.0,1573.0,0,0,2,2.0,2.0,0.95
233,0.0,11.0,3,3,1.0,1.0,2519.0,1,0,1,1.0,2.0,1.5
234,0.0,14.0,4,4,3.0,1.0,3350.0,0,0,1,2.0,0.0,4.0
235,0.0,111.0,2,2,2.0,3.0,789.0,0,0,0,1.0,2.0,0.45
236,0.0,94.0,1,1,0.0,3.0,650.0,0,0,1,1.0,2.0,0.62
237,0.0,103.0,3,3,4.0,3.0,1747.0,1,0,1,2.0,2.0,1.15
238,0.0,95.0,3,3,2.0,3.0,1570.0,0,0,2,2.0,2.0,1.4
239,1.0,64.0,5,4,4.0,0.0,1548.0,0,1,2,2.0,1.0,3.15
240,0.0,82.0,3,3,3.0,0.0,1466.0,0,0,1,2.0,1.0,0.98
241,0.0,4.0,3,3,4.0,3.0,1465.0,0,0,1,1.0,1.0,1.75
242,0.0,73.0,3,3,3.0,3.0,3245.0,1,0,2,0.0,1.0,5.0
243,0.0,73.0,3,3,3.0,3.0,1650.0,1,0,1,1.0,2.0,2.55
244,0.0,39.0,3,3,3.0,4.0,2218.0,1,0,1,1.0,1.0,1.65
245,0.0,8.0,4,6,4.0,3.0,2131.0,1,0,1,2.0,2.0,2.1
246,0.0,110.0,3,3,2.0,0.0,1403.0,0,0,1,1.0,2.0,0.95
248,0.0,11.0,3,4,3.0,3.0,1860.0,1,0,1,0.0,0.0,2.2
249,0.0,54.0,3,3,1.0,3.0,1611.0,0,0,1,2.0,1.0,1.38
250,1.0,30.0,5,5,3.0,0.0,6400.0,1,0,2,2.0,1.0,15.0
251,0.0,7.0,3,2,1.0,0.0,833.0,0,0,1,1.0,1.0,0.42
252,0.0,69.0,3,3,2.0,1.0,1630.0,0,0,1,1.0,2.0,2.55
253,0.0,11.0,3,4,4.0,1.0,2339.0,1,0,1,2.0,2.0,2.3
254,0.0,73.0,4,3,2.0,3.0,3150.0,1,0,1,1.0,1.0,3.2
255,1.0,55.0,2,6,3.0,0.0,1467.0,0,0,1,1.0,2.0,3.75
256,0.0,17.0,4,4,4.0,4.0,2886.0,1,0,0,2.0,0.0,2.75
257,0.0,39.0,3,3,4.0,1.0,1619.0,0,0,1,1.0,2.0,2.0
258,0.0,94.0,3,3,3.0,0.0,1677.0,0,0,1,1.0,0.0,1.85
259,0.0,0.0,3,3,2.0,4.0,1267.0,0,0,1,1.0,2.0,1.3
260,0.0,103.0,3,3,2.0,3.0,1578.0,0,0,1,1.0,0.0,1.23
261,0.0,73.0,2,2,3.0,1.0,1433.0,0,0,1,1.0,2.0,2.65
262,1.0,102.0,2,3,0.0,2.0,900.0,0,0,1,1.0,2.0,1.65
263,0.0,50.0,3,3,4.0,0.0,2450.0,1,0,2,2.0,1.0,3.8
264,0.0,73.0,4,4,4.0,3.0,1975.0,1,0,2,0.0,1.0,2.85
265,0.0,71.0,4,4,0.0,1.0,3950.0,0,0,1,2.0,2.0,7.8
266,0.0,25.0,3,4,4.0,0.0,1738.0,1,0,1,2.0,2.0,1.5
267,1.0,86.0,4,4,0.0,1.0,3111.0,0,0,1,1.0,0.0,1.75
268,0.0,69.0,3,3,3.0,4.0,1721.0,0,0,1,1.0,1.0,2.17
269,0.0,4.0,3,3,3.0,3.0,1315.0,1,0,1,2.0,2.0,1.35
270,0.0,8.0,3,4,4.0,3.0,1345.0,1,0,1,0.0,2.0,1.05
271,0.0,20.0,4,4,0.0,2.0,3250.0,0,0,1,1.0,2.0,4.26
272,0.0,107.0,2,2,2.0,1.0,670.0,0,0,2,2.0,0.0,0.41
273,1.0,64.0,6,6,2.0,0.0,3450.0,1,1,0,0.0,2.0,3.65
274,0.0,11.0,3,2,2.0,3.0,1701.0,0,0,1,0.0,2.0,1.2
275,0.0,9.0,2,2,3.0,3.0,1281.0,0,0,2,0.0,2.0,0.98
276,1.0,63.0,8,8,4.0,3.0,3240.0,1,0,0,1.0,2.0,7.5
277,0.0,80.0,3,4,4.0,1.0,1923.0,1,0,1,2.0,0.0,1.65
278,1.0,54.0,3,6,2.0,0.0,2592.0,1,0,2,2.0,1.0,5.5
279,0.0,78.0,3,3,1.0,3.0,1392.0,0,0,1,0.0,0.0,1.38
280,1.0,78.0,1,1,0.0,1.0,763.0,0,0,1,1.0,1.0,0.8
281,0.0,101.0,2,2,2.0,1.0,998.0,0,0,1,2.0,2.0,0.9
282,0.0,59.0,3,3,3.0,0.0,2127.0,1,0,1,1.0,2.0,1.85
283,0.0,88.0,2,2,1.0,0.0,1239.0,0,0,1,1.0,2.0,0.75
284,0.0,109.0,3,3,0.0,1.0,1997.0,0,0,1,1.0,0.0,1.3
285,0.0,111.0,2,1,3.0,1.0,828.0,0,0,1,2.0,1.0,0.54
286,0.0,44.0,2,2,3.0,1.0,610.0,0,0,1,2.0,2.0,0.55
287,0.0,73.0,2,2,2.0,3.0,1433.0,0,0,1,1.0,0.0,2.0
288,0.0,109.0,3,5,3.0,1.0,1737.0,1,0,1,2.0,0.0,1.32
289,0.0,16.0,4,5,4.0,3.0,3655.35,1,0,2,0.0,2.0,5.49
290,0.0,101.0,2,2,3.0,1.0,1233.0,0,0,1,2.0,2.0,1.0
291,0.0,89.0,2,2,3.0,3.0,1700.0,0,0,1,1.0,2.0,1.0
